name,longitude,latitude,population,country_name,country_gdp
Irbid,32.55556,35.85,307480,Jordan,43697659275.3137
Toyonaka,34.78244,135.46932,384459,Japan,4975415241562.52
Ōmuta,33.03333,130.45,131974,Japan,4975415241562.52
Nishinomiya-hama,34.71562,135.33199,468925,Japan,4975415241562.52
Maebashi,36.4,139.08333,282711,Japan,4975415241562.52
Kamakura,35.30889,139.55028,166016,Japan,4975415241562.52
Hatsukaichi,34.35,132.33333,77341,Japan,4975415241562.52
Kamifukuoka,35.87266,139.51369,52323,Japan,4975415241562.52
Tendō,38.35361,140.36972,65393,Japan,4975415241562.52
Miyako,39.64691,141.94057,51721,Japan,4975415241562.52
Ichihara,35.51667,140.08333,283531,Japan,4975415241562.52
Hachinohe,40.5,141.5,239046,Japan,4975415241562.52
Aomori,40.81667,140.73333,298394,Japan,4975415241562.52
Osh,40.52828,72.7985,200000,Kyrgyzstan,7735976612.64163
Bishkek,42.87,74.59,900000,Kyrgyzstan,7735976612.64163
Sihanoukville,10.60932,103.52958,156691,Cambodia,25291251427.3979
Manp’o,41.15472,126.28944,116760,North Korea,0.0
Suncheon,34.9505,127.48784,230796,South Korea,1630525005469.11
Gunsan,35.97861,126.71139,243406,South Korea,1630525005469.11
Petropavl,54.86667,69.15,200920,Kazakhstan,169835426427.153
Pyapon,16.28543,95.67882,65601,Myanmar,76185586096.7974
Bogale,16.29415,95.39742,68938,Myanmar,76185586096.7974
Erdenet,49.03333,104.08333,79647,Mongolia,13137128659.479
Vacoas,-20.29806,57.47833,110000,Mauritius,10914065306.2423
Quatre Bornes,-20.26381,57.4791,80961,Mauritius,10914065306.2423
Álvaro Obregón,19.35867,-99.20329,726664,Mexico,1076163316174.94
Villahermosa,17.98689,-92.93028,353577,Mexico,1076163316174.94
Agía Paraskeví,38.01667,23.83333,59704,Greece,189410106620.016
Kavála,40.93959,24.40687,54027,Greece,189410106620.016
Quetzaltenango,14.83472,-91.51806,132230,Guatemala,77604632170.5853
La Ceiba,15.75971,-86.78221,130218,Honduras,23827840809.7014
